rubrique;intitule;IPR_reference;rang_reference;rang_min;rang_max;nb_scenarios_premier_tiers_(rang<=7);rang_référence;rang_égalitaire;rang_fréquences seules;rang_jury renforcé;rang_récence renforcée;rang_sans « gap »;rang_poids du barème renforcé
2.2;Analyse extra-financière;67.0;1;1;3;7/7;1;1;3;1;1;1;1
1.2;La valeur et le risque;63.0;2;1;2;7/7;2;2;1;2;2;2;2
6.3;Les fusions et acquisitions;57.0;3;2;4;7/7;3;4;2;3;3;3;3
4.2;Modalités de financement;50.6;4;4;6;7/7;4;5;6;5;4;4;4
1.1;La valeur en finance;46.9;5;3;15;4/7;5;3;15;4;9;8;5
4.1;Investissement et désinvestissement;45.3;6;4;8;6/7;6;6;4;8;5;5;6
6.5;Les innovations financières;45.1;7;6;9;6/7;7;7;9;6;6;6;7
3.1;Évaluation par les flux;41.4;8;5;9;3/7;8;8;5;9;7;7;8
6.1;La politique de dividende;37.6;9;7;10;1/7;9;9;10;7;8;9;9
5.2;La gestion des risques;35.7;10;7;13;1/7;10;13;7;10;11;10;10
3.2;Évaluation par approche comparative;31.9;11;8;14;0/7;11;14;8;11;10;11;13
3.3;Autres évaluations particulières et spécifiques;30.1;12;10;13;0/7;12;10;13;12;12;12;11
1.3;La valeur et la performance;26.9;13;12;14;0/7;13;12;12;13;13;13;14
2.1;Analyse financière des comptes consolidés;25.6;14;11;14;0/7;14;11;11;14;14;14;12
4.3;Le choix d'une structure de financement;17.7;15;15;18;0/7;15;15;18;16;16;16;16
5.1;La gestion des flux de trésorerie au sein d'un groupe;17.2;16;14;16;0/7;16;16;14;15;15;15;15
6.2;La gestion de la valeur de l'action;11.8;17;16;17;0/7;17;17;16;17;17;17;17
6.4;Les opérations sur les dettes et sur les créances;9.5;18;17;18;0/7;18;18;17;18;18;18;18
5.3;La fraude et le blanchiment des capitaux;8.3;19;19;19;0/7;19;19;19;19;19;19;19
