rubrique;partie;intitule;sessions_2016_2025;freq_10;sessions_2020_2025;freq_prog_actuel;freq_5_dernieres;freq_3_dernieres;freq_avec_transversal_2020_2025;nb_dossiers;derniere_apparition;annees_depuis;poids_moyen_par_session_2020_2025;poids_moyen_quand_present;nb_annees_jury;nb_difficultes_jury;transversalite;IPR;categorie;dossiers
5.2;5. Architecture et sécurité des SI (15 h);Mise en place d'une architecture de confiance;7.0;0.70;5.0;0.83;0.80;0.67;1.00;8;2025;1;0.200;0.240;3;1;11;63.9;PRIORITÉ MAXIMALE;2025 D2, 2023 D3, 2022 D3, 2021 D3, 2020 D1, 2020 D2, 2018 D3, 2016 D3
2.2;2. La gestion de projets SI (30 h);La mise en œuvre d'un projet;8.0;0.80;5.0;0.83;0.80;0.67;1.00;9;2024;2;0.118;0.142;2;1;11;60.3;PRIORITÉ MAXIMALE;2024 D3, 2023 D2, 2022 D2, 2021 D2, 2020 D3, 2019 D3, 2018 D1, 2018 D2, 2016 D2
1.2;1. Gouvernance des SI (30 h);La stratégie SI;6.0;0.60;3.0;0.50;0.60;0.67;0.50;6;2025;1;0.076;0.153;3;3;7;59.6;PRIORITÉ TRÈS ÉLEVÉE;2025 D1, 2024 D2, 2021 D1, 2019 D2, 2017 D1, 2016 D1
5.3;5. Architecture et sécurité des SI (15 h);Surveillance et prévention;4.0;0.40;3.0;0.50;0.40;0.67;0.83;4;2025;1;0.075;0.150;4;1;11;54.7;PRIORITÉ TRÈS ÉLEVÉE;2025 D2, 2023 D3, 2020 D2, 2018 D3
1.3;1. Gouvernance des SI (30 h);Évolution des systèmes d'information;4.0;0.40;2.0;0.33;0.40;0.33;0.67;5;2024;2;0.061;0.183;2;2;13;47.5;PRIORITÉ TRÈS ÉLEVÉE;2024 D1, 2024 D3, 2022 D1, 2019 D1, 2016 D1
3.2;3. Les systèmes d'entreprise (15 h);Le cycle de vie des systèmes d'entreprise (SE);5.0;0.50;3.0;0.50;0.40;0.67;0.50;5;2024;2;0.069;0.139;2;1;6;46.8;PRIORITÉ TRÈS ÉLEVÉE;2024 D1, 2023 D2, 2020 D3, 2018 D1, 2016 D2
3.1;3. Les systèmes d'entreprise (15 h);La place des systèmes d'entreprise (SE);5.0;0.50;4.0;0.67;0.60;0.33;0.83;5;2023;3;0.125;0.188;1;0;10;43.3;PRIORITÉ ÉLEVÉE;2023 D1, 2022 D2, 2021 D3, 2020 D3, 2019 D2
1.1;1. Gouvernance des SI (30 h);Position de la fonction SI au sein de l'organisation;3.0;0.30;2.0;0.33;0.40;0.00;0.67;3;2022;4;0.039;0.117;1;1;15;40.6;PRIORITÉ TRÈS ÉLEVÉE;2022 D1, 2021 D1, 2016 D1
2.1;2. La gestion de projets SI (30 h);Les enjeux d'un projet;3.0;0.30;2.0;0.33;0.40;0.00;0.67;3;2022;4;0.043;0.129;2;0;10;36.9;PRIORITÉ ÉLEVÉE;2022 D3, 2021 D2, 2017 D3
2.4;2. La gestion de projets SI (30 h);Gestion des risques du projet;2.0;0.20;2.0;0.33;0.40;0.33;0.33;2;2024;2;0.033;0.100;1;0;8;28.1;À MAÎTRISER;2024 D1, 2021 D2
4.1;4. Gestion de la performance informationnelle (30 h);Définition d'indicateurs;3.0;0.30;1.0;0.17;0.20;0.33;0.33;3;2024;2;0.029;0.175;1;1;3;27.7;À MAÎTRISER;2024 D2, 2019 D2, 2017 D3
6.2;6. Audit du SI, conseil et reporting (20 h);Gouvernance d'entreprise et environnement spécifique pour l'auditeur ou le conseil;2.0;0.20;1.0;0.17;0.20;0.33;0.17;2;2025;1;0.025;0.150;1;1;5;26.4;PRIORITÉ TRÈS ÉLEVÉE;2025 D1, 2016 D3
1.4;1. Gouvernance des SI (30 h);Management stratégique des données (Big Data-Mégadonnées);2.0;0.20;1.0;0.17;0.20;0.33;0.17;2;2025;1;0.021;0.125;1;1;3;26.2;PRIORITÉ TRÈS ÉLEVÉE;2025 D3, 2017 D1
4.2;4. Gestion de la performance informationnelle (30 h);Le contrat de services;1.0;0.10;0;0.00;0.00;0.00;0.50;1;2017;9;0.000;0.000;2;1;6;25.3;PRIORITÉ TRÈS ÉLEVÉE;2017 D2
6.1;6. Audit du SI, conseil et reporting (20 h);Audit du système d'information;1.0;0.10;1.0;0.17;0.20;0.33;0.17;1;2025;1;0.025;0.150;1;1;5;24.9;PRIORITÉ TRÈS ÉLEVÉE;2025 D1
4.3;4. Gestion de la performance informationnelle (30 h);Les coûts;2.0;0.20;1.0;0.17;0.20;0.00;0.17;2;2021;5;0.022;0.133;1;0;3;23.8;À MAÎTRISER;2021 D1, 2017 D2
6.4;6. Audit du SI, conseil et reporting (20 h);Contrôle et reporting;1.0;0.10;1.0;0.17;0.20;0.33;0.17;1;2025;1;0.021;0.125;1;1;3;23.1;PRIORITÉ TRÈS ÉLEVÉE;2025 D3
5.1;5. Architecture et sécurité des SI (15 h);Architecture technique;2.0;0.20;1.0;0.17;0.20;0.00;0.33;2;2022;4;0.017;0.100;0;0;8;22.0;À MAÎTRISER;2022 D1, 2017 D2
4.5;4. Gestion de la performance informationnelle (30 h);Évaluation des projets de SI;1.0;0.10;0;0.00;0.00;0.00;0.17;1;2016;10;0.000;0.000;0;0;4;13.2;COMPLÉMENT;2016 D2
2.5;2. La gestion de projets SI (30 h);Gestion des connaissances;0;0.00;0;0.00;0.00;0.00;0.33;0;;;0.000;0.000;0;0;6;13.0;COMPLÉMENT;
6.3;6. Audit du SI, conseil et reporting (20 h);Audit et conseils assistés;1.0;0.10;0;0.00;0.00;0.00;0.00;1;2016;10;0.000;0.000;0;0;0;9.8;COMPLÉMENT;2016 D3
2.3;2. La gestion de projets SI (30 h);Maintenance;0;0.00;0;0.00;0.00;0.00;0.00;0;;;0.000;0.000;0;0;0;9.0;COMPLÉMENT;
4.4;4. Gestion de la performance informationnelle (30 h);Les budgets;0;0.00;0;0.00;0.00;0.00;0.00;0;;;0.000;0.000;0;0;0;9.0;COMPLÉMENT;
